Temperature,Humidity,Moisture,pH,Soil Type,Tea Type,Nitrogen,Potassium,Phosphorous,Size of land,Kilos Produced,Number of Bushes,Fertilizer Name,Number of Bags
21,61,68,6.6820245384346855,Loam,Green,50,39,19,5,675,1167,NPK 5-10-5,13
30,70,67,7.615944561693625,Loam,Black,29,30,9,17,1282,1139,NPK 20-20-10,25
26,64,62,7.6680169596592105,Sandy,Oolong,37,36,17,15,1136,1380,NPK 5-10-5,22
21,71,54,7.062310999244023,Sandy,Green,25,35,16,19,1018,584,Organic,20
23,75,60,8.038271674870977,Sandy,Oolong,43,26,30,15,529,617,NPK 20-20-10,10
25,61,63,5.921110223490963,Sandy,Green,28,34,9,20,1162,922,Organic,23
22,64,61,8.264891396602692,Loam,Oolong,49,18,25,14,1102,789,NPK 20-20-10,22
22,64,63,6.129378024603161,Loam,Black,28,35,22,16,1419,1373,NPK 5-10-5,28
22,79,70,7.94308483614577,Sandy,Oolong,30,16,16,19,729,1441,NPK 5-10-5,14
29,68,59,6.607319157530301,Loam,Oolong,40,30,26,5,1095,702,NPK 20-20-10,21
25,70,50,7.849174622470212,Loam,Black,38,33,20,8,1358,1026,NPK 5-10-5,27
27,61,66,7.922111971882792,Clay,Oolong,44,30,8,6,527,511,Organic,10
21,60,62,4.52430423114925,Sandy,Green,34,35,7,17,1360,797,NPK 5-10-5,27
27,75,54,6.47957859057075,Sandy,Black,49,37,21,11,1208,1302,NPK 5-10-5,24
20,70,70,7.502335692060752,Sandy,Black,43,25,11,16,510,817,NPK 5-10-5,10
24,61,52,7.564455901257862,Loam,Green,48,37,25,20,1010,908,NPK 5-10-5,20
30,68,55,7.042242449250429,Clay,Oolong,49,27,25,6,657,1479,NPK 5-10-5,13
23,67,63,7.47207212146578,Loam,Oolong,26,19,8,8,540,1417,Organic,10
27,76,69,7.402323216843058,Loam,Black,49,18,8,18,828,1417,Organic,16
27,67,62,7.063527421534836,Sandy,Green,39,27,18,16,901,888,NPK 5-10-5,18
27,63,66,5.121768478539865,Loam,Green,26,27,24,8,765,1171,Organic,15
29,70,50,8.344147380245875,Sandy,Black,29,15,7,15,862,1299,Organic,17
25,64,50,6.135060281857889,Loam,Green,40,17,10,7,1338,776,Organic,26
29,80,64,7.586628234675343,Clay,Oolong,25,18,21,20,922,885,Organic,18
22,73,51,5.318281852317146,Clay,Black,37,15,12,6,1282,573,NPK 20-20-10,25
25,65,52,6.098633856238541,Loam,Green,34,35,26,5,1328,709,Organic,26
24,66,70,7.222131469259763,Loam,Oolong,48,38,14,10,764,1453,NPK 5-10-5,15
20,74,56,5.22462252994057,Loam,Black,30,40,10,11,1236,1478,NPK 20-20-10,24
28,60,58,7.880101398409817,Loam,Oolong,44,37,25,12,1034,911,NPK 5-10-5,20
28,80,57,6.471497003690166,Loam,Black,49,35,27,6,1185,712,NPK 5-10-5,23
22,61,50,8.3988129636577,Sandy,Oolong,47,30,5,17,1108,978,Organic,22
29,79,64,5.092618381151441,Sandy,Oolong,38,23,11,17,1478,526,NPK 5-10-5,29
21,73,54,5.71199283462697,Clay,Oolong,45,37,28,14,915,1066,Organic,18
30,77,63,4.680613865386507,Clay,Black,36,16,11,17,1029,1071,NPK 5-10-5,20
22,65,55,4.9647574055379415,Loam,Green,33,27,15,13,973,1467,Organic,19
27,75,55,6.060158097121592,Loam,Green,36,30,8,9,1063,514,NPK 5-10-5,21
21,68,69,7.7832971530963855,Loam,Black,41,34,30,11,1209,1311,NPK 20-20-10,24
24,68,61,5.70362150671765,Loam,Green,28,23,25,10,678,1437,NPK 5-10-5,13
20,70,66,7.841016857734897,Loam,Black,42,36,7,18,835,876,NPK 20-20-10,16
25,62,56,6.231202249631032,Sandy,Black,34,22,14,20,1120,501,NPK 20-20-10,22
24,61,57,8.176879410099673,Sandy,Oolong,34,37,13,6,693,1077,NPK 20-20-10,13
22,74,63,5.836542609825661,Clay,Green,30,40,25,13,650,1220,Organic,13
25,80,66,7.248773682522389,Sandy,Black,46,35,19,7,1001,913,Organic,20
26,60,58,6.7303891334732695,Loam,Oolong,28,23,13,5,787,1121,NPK 20-20-10,15
30,63,55,7.552958088572932,Clay,Green,31,30,16,5,1152,720,NPK 20-20-10,23
24,65,61,8.318123750069397,Clay,Green,46,17,28,8,1228,1045,Organic,24
26,69,57,5.121778021256176,Sandy,Oolong,37,24,15,8,651,1072,Organic,13
27,63,60,6.575544419637446,Sandy,Oolong,38,30,11,9,1473,919,NPK 20-20-10,29
20,65,67,6.313841887948758,Sandy,Green,37,18,27,7,1323,1318,NPK 20-20-10,26
23,74,60,5.091739764954147,Clay,Oolong,27,39,28,6,1026,1384,Organic,20
22,73,69,7.295395682966606,Clay,Black,41,17,16,16,716,1344,NPK 5-10-5,14
22,80,53,7.531499213408644,Loam,Black,44,32,30,15,1173,1286,Organic,23
23,75,55,7.65013929145298,Clay,Oolong,47,37,11,20,922,686,NPK 20-20-10,18
25,71,50,6.174314781345835,Sandy,Green,28,33,27,7,1295,537,Organic,25
25,64,61,7.0758418909196,Loam,Black,47,29,14,17,987,1014,NPK 20-20-10,19
20,60,61,5.616462794495658,Loam,Oolong,46,22,9,12,891,1161,NPK 20-20-10,17
25,79,60,4.708651985480854,Clay,Green,50,26,12,9,511,1312,NPK 20-20-10,10
24,76,58,6.399960803805488,Loam,Black,38,21,16,20,1168,1009,NPK 20-20-10,23
24,78,65,6.203572398786465,Loam,Oolong,32,25,23,13,1071,636,Organic,21
26,68,52,8.077320937554655,Clay,Oolong,27,20,9,19,1396,1174,Organic,27
23,73,69,5.584847841306692,Sandy,Black,41,21,15,19,826,920,NPK 5-10-5,16
28,71,51,8.178640311731973,Clay,Green,32,37,27,17,1047,1068,Organic,20
29,65,61,6.516477046696815,Clay,Green,32,31,26,6,1223,1249,NPK 5-10-5,24
25,72,65,5.967458971672187,Sandy,Black,43,22,18,18,1357,1495,Organic,27
24,78,55,7.837939492080247,Sandy,Oolong,42,19,26,12,845,757,NPK 5-10-5,16
21,68,56,4.64535855341374,Sandy,Oolong,50,17,5,20,1129,803,NPK 5-10-5,22
23,80,70,4.53694290728475,Clay,Oolong,48,36,19,8,614,1483,NPK 20-20-10,12
29,66,69,6.714738751710607,Clay,Green,35,31,17,20,958,600,Organic,19
21,65,68,6.4497826039136825,Loam,Black,47,29,14,19,920,527,NPK 20-20-10,18
27,69,57,6.672424670746133,Loam,Black,29,21,26,12,1009,910,NPK 20-20-10,20
23,63,59,6.596459834873372,Loam,Black,46,20,15,7,862,1238,NPK 5-10-5,17
21,71,62,6.552060113576062,Loam,Black,28,21,10,20,784,931,NPK 20-20-10,15
21,78,62,7.251594216137413,Sandy,Oolong,26,16,5,15,865,786,NPK 5-10-5,17
28,69,62,4.638106167666192,Loam,Oolong,39,25,21,17,1413,617,NPK 20-20-10,28
21,75,66,8.00574379684771,Loam,Green,41,17,9,5,684,544,NPK 20-20-10,13
26,70,61,6.053148777289771,Clay,Oolong,31,34,30,6,1336,782,NPK 20-20-10,26
27,76,55,8.318718704889426,Clay,Oolong,44,20,15,16,728,1483,Organic,14
24,62,69,7.633094404041412,Clay,Green,45,29,19,9,757,659,Organic,15
26,77,50,7.055244789284075,Loam,Green,31,27,18,19,962,1317,NPK 5-10-5,19
22,77,69,6.77810014130857,Loam,Green,36,23,16,6,1112,1308,NPK 5-10-5,22
26,80,50,5.649682933162884,Sandy,Oolong,49,22,23,12,878,1289,NPK 20-20-10,17
28,71,56,5.414160902598965,Sandy,Green,28,17,24,15,1151,851,NPK 20-20-10,23
28,67,68,8.325903226561511,Sandy,Black,31,25,15,20,1480,1061,NPK 20-20-10,29
30,75,67,5.6344976740189034,Sandy,Green,36,26,8,7,921,1168,NPK 5-10-5,18
26,79,70,7.347085035680761,Loam,Oolong,35,19,19,7,960,985,Organic,19
24,77,60,7.403603019010958,Sandy,Oolong,38,17,14,6,688,1196,Organic,13
24,70,59,4.857300269275557,Sandy,Green,41,28,28,19,929,875,NPK 5-10-5,18
22,76,62,6.802536181663154,Clay,Oolong,39,22,6,19,710,1014,NPK 20-20-10,14
26,69,66,8.448817761217766,Loam,Black,40,30,22,5,706,1352,NPK 20-20-10,14
28,70,54,5.365997350450465,Sandy,Green,37,16,12,9,527,755,NPK 20-20-10,10
29,60,63,7.075161178906928,Clay,Oolong,49,35,17,8,637,847,NPK 20-20-10,12
23,65,63,8.282347890029923,Loam,Black,37,37,17,8,1203,1026,Organic,24
26,65,51,4.573811628372519,Sandy,Oolong,47,40,5,15,1419,1010,NPK 5-10-5,28
21,72,56,7.816063604495293,Clay,Oolong,48,22,25,18,660,1474,NPK 20-20-10,13
20,64,58,8.366003233874709,Loam,Green,32,21,13,5,1493,1322,NPK 5-10-5,29
23,72,64,5.424526573364089,Loam,Oolong,35,25,11,9,603,656,NPK 20-20-10,12
22,75,62,8.246659614417847,Loam,Green,40,33,16,15,1269,500,NPK 5-10-5,25
26,64,61,7.460468547602506,Clay,Oolong,43,38,18,11,1479,682,Organic,29
21,61,68,8.103084879397112,Sandy,Black,36,23,5,20,528,1255,NPK 5-10-5,10
25,64,59,7.7295119255881755,Sandy,Green,47,17,15,13,927,710,NPK 20-20-10,18
24,62,63,6.597806201525254,Loam,Green,42,32,12,8,845,1484,NPK 5-10-5,16
27,74,53,4.764508045012554,Loam,Oolong,34,25,7,7,1390,1415,Organic,27
24,65,60,5.395283092997952,Sandy,Green,36,21,10,12,1495,635,NPK 20-20-10,29
30,67,61,4.524760359267233,Sandy,Black,38,18,10,6,769,577,NPK 5-10-5,15
29,60,67,7.41089274099234,Loam,Oolong,49,40,27,18,815,1365,Organic,16
25,78,66,7.743294168524656,Loam,Green,28,24,21,19,809,1196,NPK 5-10-5,16
23,80,59,6.763354172133557,Sandy,Black,40,17,7,7,1235,1443,NPK 20-20-10,24
25,75,64,4.759126050387801,Clay,Oolong,47,40,28,5,691,963,NPK 20-20-10,13
24,63,58,7.172699143010418,Clay,Green,27,30,22,20,1346,725,NPK 5-10-5,26
29,76,50,8.159935290548141,Loam,Black,49,22,5,5,791,762,NPK 20-20-10,15
24,70,66,6.211877560346318,Clay,Green,27,37,13,11,1326,1216,Organic,26
29,67,54,8.09381689222206,Clay,Black,48,18,19,7,678,593,Organic,13
23,60,51,4.569086747722537,Clay,Black,40,16,14,16,1011,1437,NPK 20-20-10,20
24,71,68,4.594208040599578,Loam,Black,32,18,29,17,1165,597,NPK 20-20-10,23
22,60,50,7.912696723913518,Sandy,Black,39,29,24,8,1347,923,NPK 5-10-5,26
23,73,50,5.148289113470767,Sandy,Oolong,38,18,8,20,894,644,NPK 20-20-10,17
25,60,66,7.779324309667283,Loam,Black,31,27,28,17,505,889,NPK 20-20-10,10
29,76,60,5.401255882613116,Clay,Oolong,44,29,23,15,994,777,NPK 20-20-10,19
27,74,63,7.5498952036143905,Clay,Green,30,35,7,16,1286,972,Organic,25
23,63,59,7.680453963464533,Sandy,Green,37,31,11,18,1234,850,Organic,24
24,64,55,7.975075647528234,Clay,Green,50,21,11,14,930,1155,NPK 20-20-10,18
27,72,60,4.900989120542585,Loam,Green,47,36,7,10,523,779,Organic,10
21,66,63,8.4069498705501,Clay,Oolong,30,20,14,12,504,1460,Organic,10
21,67,63,7.698541412049871,Clay,Black,31,15,27,10,1240,827,Organic,24
20,79,55,7.056130822256453,Sandy,Oolong,35,24,23,15,1393,539,NPK 20-20-10,27
29,66,61,5.835950684233851,Sandy,Oolong,43,28,25,15,1302,1018,NPK 20-20-10,26
28,61,52,7.842103445894674,Sandy,Green,26,35,7,14,1368,957,Organic,27
26,68,50,7.18116063761784,Sandy,Black,47,21,5,12,680,938,Organic,13
26,79,68,6.915153707634309,Loam,Oolong,50,27,27,20,1467,957,NPK 20-20-10,29
25,69,50,5.42010875776038,Sandy,Black,30,38,26,16,500,934,NPK 20-20-10,10
26,72,65,5.454295278054917,Clay,Black,47,18,28,10,1218,1353,Organic,24
23,69,69,8.181157841211478,Sandy,Oolong,46,38,18,13,735,769,Organic,14
28,74,50,8.446208653069455,Sandy,Black,48,24,26,15,1216,1145,NPK 20-20-10,24
30,71,67,7.520604213705118,Loam,Black,40,18,26,13,1451,613,NPK 20-20-10,29
25,68,50,8.462701060410467,Sandy,Black,35,19,12,8,1401,1108,NPK 20-20-10,28
23,64,69,7.7521885178859264,Sandy,Black,38,17,11,9,1202,685,Organic,24
29,72,69,8.481145757446086,Clay,Oolong,30,27,25,8,1173,833,Organic,23
24,66,52,4.60801037291929,Sandy,Green,40,28,7,13,1040,590,NPK 20-20-10,20
24,70,62,6.905884226926157,Clay,Black,33,37,28,13,788,1081,Organic,15
26,70,70,4.760758526644739,Sandy,Black,48,19,29,17,613,1394,NPK 5-10-5,12
22,63,67,5.26805148576296,Clay,Green,37,37,22,17,1129,1017,Organic,22
20,64,59,8.168212614909127,Loam,Black,28,22,6,15,850,1128,Organic,17
27,72,57,5.671154804764633,Sandy,Oolong,42,15,13,12,1212,1206,NPK 20-20-10,24
29,79,55,5.76379113125965,Loam,Green,39,17,28,7,613,1265,Organic,12
27,64,63,7.651099542036208,Loam,Oolong,50,37,8,16,690,951,NPK 5-10-5,13
28,75,67,8.17524710650877,Clay,Oolong,41,17,12,14,1391,849,NPK 5-10-5,27
24,73,69,6.350930804279475,Clay,Oolong,26,37,15,8,953,1121,NPK 20-20-10,19
20,78,59,7.263024232160675,Clay,Black,43,33,9,19,936,1023,Organic,18
30,63,58,5.437470827952087,Sandy,Oolong,28,38,24,8,943,1369,Organic,18
21,77,60,7.342915261827331,Loam,Black,28,26,6,14,878,1494,NPK 5-10-5,17
29,80,51,6.0838591653850775,Loam,Green,26,19,22,14,726,1280,Organic,14
22,75,66,6.189966762956773,Sandy,Oolong,26,15,13,5,849,1224,NPK 20-20-10,16
28,77,61,7.2219328858774166,Clay,Green,30,27,7,13,890,1076,NPK 5-10-5,17
30,62,53,4.889616201667449,Sandy,Green,25,29,29,15,902,1165,NPK 20-20-10,18
20,68,54,6.048429694878454,Clay,Oolong,31,23,15,7,604,1095,Organic,12
29,74,53,7.529351699719719,Sandy,Oolong,47,33,25,15,1295,922,Organic,25
27,76,58,7.462433589362231,Clay,Green,45,19,14,16,1399,1463,Organic,27
23,76,58,4.691215730083354,Loam,Oolong,43,22,22,18,1006,1438,Organic,20
25,78,60,7.507300966136506,Loam,Green,34,36,10,6,520,1155,NPK 20-20-10,10
27,63,56,7.034510202032299,Sandy,Green,32,17,6,16,708,1239,Organic,14
21,63,51,4.612388873959394,Loam,Oolong,43,34,9,15,1395,1491,Organic,27
27,77,59,5.38987913861346,Clay,Green,25,30,13,20,538,1402,NPK 5-10-5,10
28,76,55,5.384293742182306,Sandy,Black,49,25,6,8,553,1299,NPK 5-10-5,11
24,74,56,5.079045809479626,Clay,Green,32,18,5,9,1085,1226,NPK 5-10-5,21
29,62,57,4.672768343163644,Clay,Black,40,36,9,19,881,732,NPK 5-10-5,17
20,65,63,8.017090433227057,Loam,Green,30,27,15,5,732,1018,NPK 5-10-5,14
29,79,52,8.487387450135694,Clay,Oolong,44,30,14,14,681,759,Organic,13
23,73,56,8.3567395363682,Clay,Green,38,20,19,6,789,1390,Organic,15
24,69,66,7.132694561878683,Clay,Black,39,27,21,13,1290,1097,Organic,25
24,67,50,8.471089138484523,Loam,Green,35,33,7,9,789,1038,NPK 5-10-5,15
20,71,59,7.259729161191601,Loam,Black,47,32,25,12,1129,691,NPK 20-20-10,22
26,63,59,8.30238589444497,Sandy,Green,42,22,22,10,1437,619,NPK 20-20-10,28
23,75,67,4.623849763107286,Clay,Green,31,26,12,7,726,774,Organic,14
20,62,54,8.295858508999983,Loam,Green,32,39,5,9,650,958,NPK 20-20-10,13
20,69,62,7.772463970918821,Clay,Green,31,34,15,10,1326,831,NPK 5-10-5,26
26,62,67,7.809485665922609,Sandy,Green,42,17,8,13,1296,701,Organic,25
23,66,54,7.7313628549842,Sandy,Green,48,38,24,8,887,528,NPK 20-20-10,17
25,61,52,6.658051778439182,Loam,Green,50,36,18,15,1426,818,Organic,28
22,62,59,5.582943875840495,Clay,Green,41,35,23,19,1114,1246,NPK 5-10-5,22
22,74,60,5.535702166077613,Clay,Oolong,44,32,26,8,1159,1050,NPK 20-20-10,23
26,62,57,6.230014578759839,Clay,Oolong,43,34,11,9,789,1107,Organic,15
28,80,55,6.79556943711222,Loam,Oolong,47,33,19,11,528,885,NPK 5-10-5,10
28,62,56,8.417764494987013,Sandy,Oolong,39,20,13,10,652,619,Organic,13
22,72,62,5.678189806842455,Loam,Green,38,39,30,6,594,1401,Organic,11
20,62,70,7.656254071205035,Clay,Oolong,34,15,7,7,824,544,NPK 5-10-5,16
24,66,61,7.170511195982972,Clay,Black,34,17,18,17,1452,925,Organic,29
27,71,58,5.258418622425063,Sandy,Oolong,37,32,13,14,657,1044,NPK 5-10-5,13
24,62,61,5.257376042465069,Clay,Oolong,29,36,18,9,831,912,NPK 5-10-5,16
29,62,55,6.505056182894936,Clay,Green,31,15,18,10,1500,574,NPK 5-10-5,30
26,71,56,4.719907160707219,Sandy,Green,34,18,27,18,830,1113,NPK 20-20-10,16
21,70,69,4.815484493115864,Clay,Black,46,36,13,12,1336,956,NPK 20-20-10,26
20,75,52,5.739304406135613,Clay,Green,31,27,22,12,538,1404,NPK 5-10-5,10
29,67,69,5.7330937607593615,Loam,Oolong,28,24,10,11,1446,874,NPK 5-10-5,28
25,61,65,4.643212053149722,Sandy,Black,48,23,11,12,1088,1450,NPK 5-10-5,21
24,71,53,4.70174828647543,Clay,Green,44,36,26,11,650,948,Organic,13
26,78,63,4.998215747388452,Clay,Green,45,36,9,18,859,1259,NPK 20-20-10,17
22,63,67,5.035074318704781,Sandy,Oolong,39,30,25,14,1050,1123,Organic,21
23,61,56,4.6746643054851305,Sandy,Oolong,26,34,28,7,555,1334,NPK 5-10-5,11
26,77,69,5.41318123613255,Sandy,Green,32,30,22,18,1101,1352,NPK 5-10-5,22
20,77,62,6.230914578735538,Sandy,Green,44,16,6,6,900,1114,NPK 20-20-10,18
26,63,56,6.4714902964444025,Clay,Black,43,24,5,11,559,734,NPK 5-10-5,11
21,78,59,6.733624693560598,Loam,Oolong,48,38,23,8,1286,1314,NPK 20-20-10,25
20,80,66,7.45471416845336,Clay,Black,34,21,13,15,1300,501,Organic,26
24,64,65,5.867012448958614,Loam,Black,43,16,16,9,805,931,NPK 5-10-5,16
27,80,58,6.361707451692887,Loam,Black,43,21,8,20,923,715,NPK 20-20-10,18
30,67,61,6.647586488604338,Loam,Oolong,44,34,8,8,655,617,NPK 20-20-10,13
30,65,61,4.75432198083824,Sandy,Oolong,29,32,29,15,816,794,NPK 20-20-10,16
29,73,52,7.212965146238448,Clay,Green,44,16,23,15,1297,872,NPK 20-20-10,25
21,79,54,5.1265415981511255,Loam,Black,49,36,18,17,758,1238,NPK 20-20-10,15
23,80,62,5.830975134375334,Loam,Oolong,27,39,19,16,839,821,NPK 20-20-10,16
